Time (s),X,Y,Z,Direction
0,-5.669999999999995,4.41,1.27,Stationary
0.032,-5.669999999999995,4.41,1.27,Stationary
0.064,-5.669999999999995,4.41,1.27,Stationary
0.096,-5.669999999999995,4.41,1.27,Stationary
0.128,-5.669999999999995,4.41,1.27,Stationary
0.16,-5.669999999999995,4.41,1.27,Stationary
0.192,-5.669999999999995,4.41,1.27,Stationary
0.224,-5.669999999999995,4.41,1.27,Stationary
0.256,-5.669999999999995,4.41,1.27,Stationary
0.28800000000000003,-5.669999999999995,4.41,1.27,Stationary
0.32000000000000006,-5.669999999999995,4.41,1.27,Stationary
0.3520000000000001,-5.669999999999995,4.41,1.27,Stationary
0.3840000000000001,-5.669999999999995,4.41,1.27,Stationary
0.41600000000000015,-5.669999999999995,4.41,1.27,Stationary
0.4480000000000002,-5.669999999999995,4.41,1.27,Stationary
0.4800000000000002,-5.669999999999995,4.41,1.27,Stationary
0.5120000000000002,-5.669999999999995,4.41,1.27,Stationary
0.5440000000000003,-5.669999999999995,4.41,1.27,Stationary
0.5760000000000003,-5.669999999999995,4.41,1.27,Stationary
0.6080000000000003,-5.669999999999995,4.41,1.27,Stationary
0.6400000000000003,-5.669999999999995,4.41,1.27,Stationary
0.6720000000000004,-5.669999999999995,4.41,1.27,Stationary
0.7040000000000004,-5.669999999999995,4.41,1.27,Stationary
0.7360000000000004,-5.669999999999995,4.41,1.27,Stationary
0.7680000000000005,-5.669999999999995,4.41,1.27,Stationary
0.8000000000000005,-5.669999999999995,4.41,1.27,Stationary
0.8320000000000005,-5.669999999999995,4.41,1.27,Stationary
0.8640000000000005,-5.669999999999995,4.41,1.27,Stationary
0.8960000000000006,-5.669999999999995,4.41,1.27,Stationary
0.9280000000000006,-5.669999999999995,4.41,1.27,Stationary
0.9600000000000006,-5.669999999999995,4.41,1.27,Stationary
0.9920000000000007,-5.669999999999995,4.41,1.27,Stationary
1.0240000000000007,-5.669999999999995,4.41,1.27,Stationary
1.0560000000000007,-5.669999999999995,4.41,1.27,Stationary
1.0880000000000007,-5.669999999999995,4.41,1.27,Stationary
1.1200000000000008,-5.669999999999995,4.41,1.27,Stationary
1.1520000000000008,-5.669999999999995,4.41,1.27,Stationary
1.1840000000000008,-5.669999999999995,4.41,1.27,Stationary
1.2160000000000009,-5.669999999999995,4.41,1.27,Stationary
1.2480000000000009,-5.669999999999995,4.41,1.27,Stationary
1.280000000000001,-5.669999999999995,4.41,1.27,Stationary
1.312000000000001,-5.669999999999995,4.41,1.27,Stationary
1.344000000000001,-5.669999999999995,4.41,1.27,Stationary
1.376000000000001,-5.669999999999995,4.41,1.27,Stationary
1.408000000000001,-5.669999999999995,4.41,1.27,Stationary
1.440000000000001,-5.669999999999995,4.41,1.27,Stationary
1.472000000000001,-5.669999999999995,4.41,1.27,Stationary
1.5040000000000011,-5.669999999999995,4.41,1.27,Stationary
1.5360000000000011,-5.669999999999995,4.41,1.27,Stationary
1.5680000000000012,-5.669999999999995,4.41,1.27,Stationary
1.6000000000000012,-5.669999999999995,4.41,1.27,Stationary
1.6320000000000012,-5.669999999999995,4.41,1.27,Stationary
1.6640000000000013,-5.669999999999995,4.41,1.27,Stationary
1.6960000000000013,-5.669999999999995,4.41,1.27,Stationary
1.7280000000000013,-5.669999999999995,4.41,1.27,Stationary
1.7600000000000013,-5.669999999999995,4.41,1.27,Stationary
